,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,uri
109,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.201,189496,spotify:track:7eResoqEJJAVTkQYSqvO3P
110,Hey Stephen (Taylor’s Version),0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,254255,spotify:track:550erGcdD9n6PnwxrvYqZT
111,Better Man (Taylor's Version) (From The Vault),0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,297013,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD
112,Should've Said No,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,242200,spotify:track:16MVSD0mGI4RMQT83Qzm69
113,Last Kiss,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-05,0.101,0.196,89.038,367133,spotify:track:1D27z8xNzjW0Mwwt1NCWhJ
114,illicit affairs,0.529,0.304,10,-10.567,1,0.0356,0.862,0.0,0.108,0.44,119.58,190893,spotify:track:6DrLROM5MG9bxWHeEG5elq
115,London Boy,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,spotify:track:1LLXZFeAHK9R4xUramtUKw
116,I'm Only Me When I'm With You,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053,spotify:track:0JIdBrXGSJXS72zjF9ss9u
117,Daylight,0.557,0.496,0,-9.602,1,0.0563,0.808,0.000173,0.0772,0.265,149.983,293453,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6
118,Jump Then Fall (Taylor’s Version),0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,237580,spotify:track:2m3ObD945KvpE5y9A1eUWm
119,Ours,0.608,0.569,0,-7.227,1,0.0284,0.537,0.0,0.097,0.238,159.845,237920,spotify:track:1EQn3Uc5AyUXoiPLeyCrrg
120,I Did Something Bad,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253,spotify:track:4svZDCRz4cJoneBpjpx8DJ
121,this is me trying,0.511,0.478,9,-9.837,1,0.0322,0.312,2.3e-05,0.147,0.408,135.882,195107,spotify:track:7cm50Lw03k6VvRauJtkyTj
122,cowboy like me,0.604,0.517,0,-9.014,1,0.0347,0.768,0.000155,0.123,0.511,127.967,275040,spotify:track:52OkpDsU6MmPx1AwGOb6Ap
123,Everything Has Changed,0.624,0.458,6,-6.755,1,0.0287,0.36,3.89e-06,0.303,0.436,80.017,243933,spotify:track:7gdwoOmi258QJq0hmQ4hto
124,The Lucky One,0.706,0.499,4,-7.675,1,0.0369,0.0371,0.0,0.132,0.545,117.937,240133,spotify:track:2wtHlpYSgC7xEdD3DrSHNL
125,Death By A Thousand Cuts,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,198533,spotify:track:2dgFqt3w9xIQRjhPtwNk3D
126,I Know Places,0.602,0.755,0,-4.991,1,0.071,0.245,0.0,0.178,0.495,159.965,195707,spotify:track:2zfgVd034GlUvk7LqBHl6u
127,Cold As You,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,239013,spotify:track:7an1exwMnfYRcdVQm0yDev
128,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893,220839,spotify:track:4CHpVfAhuxNJ3ibExe6kxO
129,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,240227,spotify:track:4IQkfUsrwXol38VV3U7t7T
130,Call It What You Want,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,spotify:track:1GwMQaZz6Au3QLDbjbMdme
131,Superstar (Taylor’s Version),0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862,263865,spotify:track:51A8eKvvZz9uydvIZ7xRSV
132,The Moment I Knew,0.62,0.506,7,-7.327,1,0.0312,0.187,1.47e-05,0.102,0.275,126.015,285560,spotify:track:5AsmAjBSSQjRPWgAYIp8tm
133,Stay Beautiful,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,236053,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y
134,Today Was A Fairytale (Taylor’s Version),0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162,241822,spotify:track:2JoJrsEV15OzbijS47lids
135,Change (Taylor’s Version),0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999,279360,spotify:track:3ExweHKZF9B752DPQByRVT
